HVO ID,Uniprot ID,Description,Protein q-value,Peptides,PSMs,Sequence Coverage,Dataset,Total Datasets,Predicted Processing,Molecular Weight,pI,Hydrophobicity,arCOG,arCOGlet
HVO_1406,D4GXY1,DUF429 family protein,0.0,2,10,12.274368231046932,PXD006877,1,Cyt,29784,4.86,-0.43,arCOG04711,R
HVO_1407,D4GXY3,HTH domain protein,0.0,3,33,19.555555555555557,PXD006877,9,Cyt,24867,4.33,-0.15,arCOG01057;arCOG07569,K;S
HVO_1409,D4GXY8,YwrF family protein,0.0,2,4,26.424870466321245,PXD006877,3,Cyt,20497,4.5,-0.09,arCOG02017,C
HVO_1412,D4GXZ3,(mvaD) phosphomevalonate decarboxylase,0.0,16,719,60.49382716049383,PXD006877,12,Cyt,35395,4.64,-0.36,arCOG02937,I
HVO_1413,D4GXZ5,(ndh2) probable NADH dehydrogenase,0.0,6,46,22.811671087533156,PXD006877,9,Cyt,39730,4.48,-0.05,arCOG01067,C
HVO_1415,D4GXZ7,HAD superfamily hydrolase,0.0,2,28,23.91304347826087,PXD006877,1,Cyt,24377,4.26,-0.27,arCOG02291,R
HVO_1416,D4GXZ9,APH family phosphotransferase,0.0,3,21,15.269461077844312,PXD006877,3,Cyt,35245,5.5,-0.19,arCOG04682,R
HVO_1419,D4GY03,HTH-10 family transcription regulator,0.0,5,42,33.333333333333336,PXD006877,8,Cyt,25167,4.63,-0.35,arCOG02271,K
HVO_1424,D4GY13,conserved hypothetical protein,0.0,10,123,39.27576601671309,PXD006877,8,Cyt,40878,4.44,-0.34,arCOG13603,S
HVO_1425,D4GY14,conserved hypothetical protein,0.0,6,95,33.58490566037736,PXD006877,9,Cyt,30447,4.55,-0.75,arCOG08140,S
HVO_1433,D4GY29,homolog to pHK2-ORF2,0.0,1,12,11.475409836065573,PXD006877,3,Cyt,13866,4.33,-0.83,nd,nd
HVO_1437,D4GY35,conserved hypothetical protein,0.0,8,39,52.70935960591133,PXD006877,10,Cyt,22290,4.66,-0.16,arCOG02452,R
HVO_1438,D4GY37,YneT family protein,0.0,4,19,45.32374100719424,PXD006877,6,Cyt,15105,4.23,-0.19,arCOG04227,R
HVO_1439,D4GY39,(cysK1) cysteine synthase,0.0,7,60,49.38650306748466,PXD006877,11,Cyt,34736,4.4,-0.26,arCOG01430,E
HVO_1440,D4GY40,conserved hypothetical protein,0.0,4,59,23.364485981308412,PXD006877,10,Cyt,11454,4.12,-0.63,arCOG04649,S
HVO_1442,D4GY44,ABC-type transport system permease protein,0.0004246284501061571,1,2,3.0497592295345104,PXD006877,6,>=2 TM,63214,5.16,0.62,arCOG04450,C
HVO_1443,D4GY47,ABC-type transport system ATP-binding protein,0.0,11,104,40.303030303030305,PXD006877,9,Cyt,36295,4.59,-0.41,arCOG00194,V
HVO_1444,D4GY50,(hbd3) 3-hydroxyacyl-CoA dehydrogenase,0.0,7,55,21.678321678321677,PXD006877,12,Cyt,30830,4.33,-0.13,arCOG00250,I
HVO_1446,D4GY54,"(fbp1) fructose-1,6-bisphosphatase",0.0,5,51,35.35353535353536,PXD006877,8,Cyt,31609,4.32,-0.21,arCOG04603,G
HVO_1447,D4GY56,(pccB1) propionyl-CoA carboxylase carboxyltransferase component,0.0,12,73,37.8657487091222,PXD006877,12,Cyt,63584,4.58,-0.37,arCOG02705,I
HVO_1452,D4GY67,(citE) homolog to citrate lyase beta subunit,0.0,7,67,41.577060931899645,PXD006877,10,Cyt,28974,4.36,-0.07,arCOG00760,G
HVO_1453,D4GY69,(gdhA2) glutamate dehydrogenase (NADP),0.0,20,224,63.30935251798561,PXD006877,11,Cyt,45702,4.35,-0.38,arCOG01352,E
HVO_1454,D4GY71,(pyrB) aspartate carbamoyltransferase catalytic subunit,0.0,23,1100,93.42105263157895,PXD006877,12,Cyt,33654,4.69,-0.36,arCOG00911,F
HVO_1455,D4GY73,(pyrI) aspartate carbamoyltransferase regulatory subunit,0.0,6,80,70.3225806451613,PXD006877,10,Cyt,16704,4.69,-0.05,arCOG04229,F
HVO_1456,D4GY75,receiver/sensor box histidine kinase,0.0,1,2,5.928853754940712,PXD006877,1,Cyt,53795,4.51,-0.25,arCOG02333;arCOG02387,T
HVO_1457,D4GY76,glycoside hydrolase domain protein,0.0,8,103,36.42611683848797,PXD006877,10,Cyt,32771,4.2,-0.45,arCOG04640,S
HVO_1459,D4GY81,ThuA family protein,0.0,13,759,65.54621848739495,PXD006877,11,Cyt,26805,4.58,-0.5,arCOG08124,G
HVO_1460,D4GY82,(fadA2) enoyl-CoA hydratase,0.0,1,2,6.691449814126394,PXD006877,9,Cyt,28188,4.34,0.08,arCOG00241,I
HVO_1461,D4GY84,(menC) o-succinylbenzoate synthase,0.0,2,5,6.497175141242938,PXD006877,4,Cyt,36592,4.4,-0.06,arCOG01168,M
HVO_1463,D4GY88,(trxB4) oxidoreductase (homolog to thioredoxin-disulfide reductase),0.0,7,46,25.0,PXD006877,1,Cyt,34432,4.31,-0.53,arCOG01301,O
HVO_1464,D4GY90,ABC-type transport system periplasmic substrate-binding protein,0.0,19,979,42.71604938271605,PXD006877,7,Tat; lipobox,45322,4.17,-0.57,arCOG06180,P
HVO_1465,D4GY93,"(menB) 1,4-dihydroxy-2-naphthoyl-CoA synthase",0.0,17,595,74.09836065573771,PXD006877,11,Cyt,33911,4.69,-0.48,arCOG00240,H
HVO_1469,D4GYA1,(menD) 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,0.0,20,314,51.02739726027397,PXD006877,10,Cyt,63308,4.64,-0.34,arCOG04611,H
HVO_1470,D4GYA2,(menF) isochorismate synthase,0.0,17,190,54.401805869074494,PXD006877,8,Cyt,47727,4.43,-0.29,arCOG02015,H
HVO_1471,D4GYA5,YuiH family molybdopterin-binding domain protein,0.0,4,179,34.01015228426396,PXD006877,7,Cyt,22526,4.34,-0.65,arCOG00264,C
HVO_1472,D4GYA6,conserved hypothetical protein,0.0,3,18,91.42857142857143,PXD006877,5,Cyt,8031,4.11,-0.59,arCOG04610,V
HVO_1473,D4GYA8,UPF0058 family protein,0.0,5,330,83.69565217391305,PXD006877,7,Cyt,10335,5.06,-0.53,arCOG02254,R
HVO_1475,D4GYB0,probable rRNA methyltransferase,0.0,3,164,19.23076923076923,PXD006877,3,Cyt,22374,4.44,-0.15,arCOG00910,J
HVO_1476,D4GYB2,conserved hypothetical protein,0.0,2,6,36.6412213740458,PXD006877,2,Cyt,13720,4.52,-0.08,arCOG10129,S
HVO_1477,D4GYB3,eDNA utilization nuclease,0.0,2,31,11.926605504587156,PXD006877,9,Sec; lipobox,34067,4.2,-0.3,arCOG03192;arCOG08231,L;S
HVO_1478,D4GYB5,(tfb5) transcription initiation factor TFB,0.0,12,354,38.48580441640379,PXD006877,11,Cyt,35710,5.28,-0.69,arCOG01981,K
HVO_1479,D4GYB8,TIGR03663 family protein,0.0,1,3,2.742230347349177,PXD006877,9,>=2 TM,57307,5.67,0.51,arCOG00562,M
HVO_1480,D4GYC0,conserved hypothetical protein,0.0,1,2,22.105263157894736,PXD006877,3,Cyt,10346,3.98,-0.21,arCOG10822,S
HVO_1481,D4GYC1,UspA domain protein,0.0,5,170,41.104294478527606,PXD006877,12,Cyt,17659,4.28,-0.28,arCOG02053,T
HVO_1482,D4GYC3,(ferA2) ferredoxin (2Fe-2S),0.0,2,7,21.296296296296298,PXD006877,7,Cyt,11519,4.14,-0.19,arCOG02842,C
HVO_1484,D4GYC8,(hemAT1) transducer protein HemAT,0.0,7,55,20.783645655877343,PXD006877,3,Cyt,62182,4.04,-0.45,arCOG02320,N
HVO_1485,D4GYD0,ferritin domain protein,0.0,3,13,22.274881516587676,PXD006877,8,Cyt,23019,4.28,-0.3,arCOG04687,R
HVO_1486,D4GYD1,MOSC domain protein,0.0,13,167,48.45360824742268,PXD006877,4,Cyt,20618,4.54,-0.46,arCOG11383,R
HVO_1487,D4GYD3,(galK) galactokinase,0.0,7,55,44.19753086419753,PXD006877,5,Cyt,42191,4.44,-0.17,arCOG01029,G
HVO_1488,D4GYD4,(gnaD) D-gluconate dehydratase,0.0,26,1315,71.11650485436893,PXD006877,12,Cyt,45765,4.49,-0.38,arCOG01168,M
HVO_1491,D4GYD7,HAD superfamily hydrolase,0.0,21,272,63.970588235294116,PXD006877,12,Cyt,44410,4.43,-0.19,arCOG04720,R
HVO_1492,D4GYD8,conserved hypothetical protein,0.0,11,416,84.35374149659864,PXD006877,10,Cyt,16051,4.55,-0.68,arCOG04569,S
HVO_1493,D4GYD9,conserved hypothetical protein,0.0,2,19,79.59183673469387,PXD006877,6,Cyt,5812,3.93,-0.82,arCOG06215,S
HVO_1494,D4GYE0,"(fba1) fructose-bisphosphate aldolase, class 2",0.0,14,417,58.18181818181818,PXD006877,12,Cyt,36279,4.17,-0.36,arCOG07500,G
HVO_1495,D4GYE1,"(ptfB) phosphotransferase system component IIB, fructose-specific",0.0,8,101,81.64556962025317,PXD006877,11,Cyt,16269,4.26,-0.31,arCOG10194,G
HVO_1496,D4GYE2,(ptsI) phosphotransferase system component I,0.0,19,297,42.123893805309734,PXD006877,12,Cyt,60288,4.06,-0.17,arCOG01113,G
HVO_1497,D4GYE3,(ptsH1) phosphocarrier protein HPr,0.0,2,20,49.438202247191015,PXD006877,3,Cyt,9354,4.15,-0.19,arCOG04543,G
HVO_1498,D4GYE4,"(ptfA) phosphotransferase system component IIA, fructose-specific",0.0,2,14,19.48051948051948,PXD006877,7,Cyt,16442,4.31,0.04,arCOG10195,G
HVO_1500,D4GYE6,(pfkB) 1-phosphofructokinase,0.0,5,25,28.19672131147541,PXD006877,9,Cyt,31983,4.29,-0.01,arCOG00015,G
HVO_1501,D4GYE7,(glpR) DeoR family transcription regulator GlpR,0.0,2,17,10.196078431372548,PXD006877,10,Cyt,27960,4.83,-0.36,arCOG03924,K
HVO_1502,D4GYE8,(leuB) 3-isopropylmalate dehydrogenase,0.0,17,401,57.407407407407405,PXD006877,7,Cyt,33704,4.07,0.05,arCOG01163,C
HVO_1503,D4GYE9,(leuD1) 3-isopropylmalate dehydratase small subunit,0.0,9,197,56.93069306930693,PXD006877,7,Cyt,21999,3.97,-0.33,arCOG02230,E
HVO_1504,Q7ZAG7,(leuC1) 3-isopropylmalate dehydratase large subunit,0.0,28,1039,57.08245243128964,PXD006877,9,Cyt,51588,4.48,-0.43,arCOG01698,E
HVO_1505,D4GYF1,conserved hypothetical protein,0.0,3,162,59.770114942528735,PXD006877,2,Cyt,9535,4.55,-1.29,arCOG09024,S
HVO_1506,D4GYF2,(ilvC) ketol-acid reductoisomerase,0.0,27,3486,88.79310344827586,PXD006877,11,Cyt,37850,4.22,-0.43,arCOG04465,E
HVO_1507,D4GYF3,(ilvN) acetolactate synthase small subunit,0.0,28,2236,92.66055045871559,PXD006877,8,Cyt,23694,4.83,-0.66,arCOG04445,E
HVO_1508,D4GYF4,(ilvB1) acetolactate synthase large subunit,0.0,22,1446,50.76660988074958,PXD006877,10,Cyt,62322,4.17,-0.2,arCOG01998,E
HVO_1510,D4GYF6,(leuA2) 2-isopropylmalate synthase,0.0,19,1224,56.36363636363637,PXD006877,3,Cyt,47711,4.69,-0.31,arCOG02092,E
HVO_1512,D4GYF8,conserved hypothetical protein,0.0,2,4,13.68421052631579,PXD006877,3,Cyt,10311,4.07,-0.15,arCOG04568,S
HVO_1513,D4GYF9,beta-lactamase domain protein,0.0,9,171,50.43859649122807,PXD006877,10,Cyt,25075,4.86,-0.23,arCOG04567,R
HVO_1514,D4GYG0,conserved hypothetical protein,0.0,3,66,19.10112359550562,PXD006877,4,Cyt,19339,4.32,-0.47,arCOG01140,O
HVO_1516,D4GYG2,conserved hypothetical protein,0.0,1,6,12.962962962962964,PXD006877,2,Cyt,11624,4.3,-0.22,arCOG04575,S
HVO_1517,D4GYG3,(aglJ) dolichyl-phosphate glucosyltransferase AglJ,0.0,5,66,31.683168316831683,PXD006877,11,>=2 TM,33249,4.72,-0.03,arCOG00894,M
HVO_1522,D4GYG5,(aglP) hexuronic acid methyltransferase AglP,0.0,13,220,58.15899581589958,PXD006877,11,Cyt,26246,4.95,-0.23,arCOG01402,Q
HVO_1523,D4GYG6,(aglQ) N-glycosylation pathway protein AglQ,0.0,17,518,65.76819407008087,PXD006877,10,Cyt,42107,5.71,-0.56,arCOG09256,M
HVO_1523A,D4GYG7,(aglE) glycosyltransferase AglE,0.0,6,80,35.526315789473685,PXD006877,8,Cyt,33847,6.6,-0.2,arCOG01385,M
HVO_1527,D4GYH1,(aglF) UTP--glucose-1-phosphate uridylyltransferase AglF,0.0,11,350,54.32098765432099,PXD006877,12,Cyt,27518,4.62,-0.4,arCOG00664,M
HVO_1528,D4GYH2,(aglI) glycosyltransferase AglI,0.0,1,22,4.745762711864407,PXD006877,8,Cyt,32825,4.54,-0.35,arCOG01385,M
HVO_1529,D4GYH3,(aglG) glucuronosyltransferase AglG,0.0,7,98,27.476038338658146,PXD006877,11,TM C-term,35779,4.46,-0.33,arCOG01387,M
HVO_1530,D4GYH4,(aglB) dolichyl-monophosphooligosaccharide--protein glycotransferase AglB,0.0,19,270,26.280834914611006,PXD006877,12,>=2 TM,113604,4.43,0.11,arCOG02043,M
HVO_1531,D4GYH5,(aglM) UDP-glucose 6-dehydrogenase AglM,0.0,12,119,30.930232558139537,PXD006877,11,Cyt,45938,4.31,-0.03,arCOG00253,M
HVO_1534,D4GYH8,probable S-adenosylmethionine-dependent methyltransferase,0.0,8,233,66.84782608695652,PXD006877,9,Cyt,19957,4.53,-0.18,arCOG02702,Q
HVO_1535,D4GYH9,conserved hypothetical protein,0.0,3,69,58.064516129032256,PXD006877,1,Cyt,7272,5.04,-0.99,arCOG04576,S
HVO_1536,D4GYI0,phosphoglycolate phosphatase,0.0,7,43,49.557522123893804,PXD006877,11,Cyt,24122,4.06,-0.05,arCOG01213,R
HVO_1537,D4GYI1,(orc15) Orc1-type DNA replication protein,0.0,10,206,43.75,PXD006877,9,Cyt,42408,5.21,-0.23,arCOG00468,L
HVO_1538,D4GYI2,(glpA1) glycerol-3-phosphate dehydrogenase subunit A,0.0,37,1733,81.0580204778157,PXD006877,11,Cyt,63447,4.57,-0.41,arCOG00753;arCOG05746,C
HVO_1539,D4GYI3,(glpB1) glycerol-3-phosphate dehydrogenase subunit B,0.0,24,1533,84.59715639810426,PXD006877,11,TM N-term,43616,4.5,-0.13,arCOG04585,E
HVO_1540,D4GYI4,(glpC1) glycerol-3-phosphate dehydrogenase subunit C,0.0,22,867,68.11926605504587,PXD006877,11,Cyt,48591,4.48,-0.52,arCOG00336;arCOG00964,C
HVO_1541,D4GYI5,(glpK) glycerol kinase,0.0,39,3695,68.62745098039215,PXD006877,12,Cyt,56702,4.37,-0.49,arCOG00024,C
HVO_1542,D4GYI6,conserved hypothetical protein,0.0,1,9,4.237288135593221,PXD006877,10,>=2 TM,36122,5.26,0.82,arCOG04584,S
HVO_1543,D4GYI7,(ptsH2) phosphocarrier protein HPr,0.0,1,33,29.67032967032967,PXD006877,5,Cyt,9438,4.03,-0.07,arCOG04543,G
HVO_1544,D4GYI8,(dhaM) probable phosphoenolpyruvate-protein phosphoryltransferase,0.0,5,32,48.4375,PXD006877,11,Cyt,13026,4.16,0.02,arCOG08943,G
HVO_1545,D4GYI9,(dhaL) phosphoenolpyruvate--dihydroxyacetone phosphotransferase subunit DhaL,0.0,12,275,44.39655172413793,PXD006877,11,Cyt,24822,4.39,-0.33,arCOG08942,G
HVO_1546,D4GYJ0,(dhaK) phosphoenolpyruvate--dihydroxyacetone phosphotransferase subunit DhaK,0.0,16,846,44.27710843373494,PXD006877,12,Cyt,34825,4.1,-0.09,arCOG08941,G
HVO_1547,D4GYJ1,(ileS) isoleucine--tRNA ligase,0.0,40,2132,50.04793863854267,PXD006877,12,Cyt,117920,4.16,-0.5,arCOG00807,J
HVO_1548,D4GYJ2,conserved hypothetical protein,0.0,4,53,21.782178217821784,PXD006877,11,Tat; lipobox,22237,4.66,-0.53,arCOG13604,S
HVO_1549,D4GYJ3,conserved hypothetical protein,0.0,1,2,9.933774834437086,PXD006877,2,Cyt,16950,3.72,-0.39,arCOG04577,S
HVO_1550,D4GYJ4,thioesterase domain protein,0.0,4,90,22.5,PXD006877,11,Cyt,17631,4.48,-0.25,arCOG00773,I
HVO_1551,D4GYJ5,DUF151 family protein,0.0,1,2,11.564625850340136,PXD006877,3,Cyt,15755,4.25,0.03,arCOG01759,L
HVO_1553,D4GYY2,glycerate 2-kinase,0.0,15,176,42.081447963800905,PXD006877,9,Cyt,45245,4.31,-0.02,arCOG04170,G
HVO_1554,D4GYY3,(traB) TraB family protein,0.0,2,6,6.238859180035651,PXD006877,11,>=2 TM,58956,4.44,0.51,arCOG02142,S
HVO_1557,D4GYY6,(purM) phosphoribosylformylglycinamidine cyclo-ligase,0.0,9,530,52.46913580246913,PXD006877,9,Cyt,33561,3.79,-0.04,arCOG00639,F
HVO_1558,D4GYY7,(cyc2) cytochrome P450,0.0,2,11,5.0691244239631335,PXD006877,6,Cyt,48437,4.76,-0.34,arCOG02814,Q
HVO_1559,D4GYY8,HTH/CBS domain protein,0.0,2,13,22.905027932960895,PXD006877,7,Cyt,19549,4.35,-0.22,arCOG00608,K
HVO_1560,D4GYY9,UPF0212 family protein,0.0,4,44,31.092436974789916,PXD006877,12,Cyt,12859,4.23,-0.06,arCOG02119,S
HVO_1562,D4GYZ1,(psmB) proteasome beta subunit,0.0,7,278,37.03703703703704,PXD006877,12,Cyt,25978,4.58,-0.3,arCOG00970,O
HVO_1564,D4GYZ3,UCP012666 family protein,0.0,15,289,46.36542239685658,PXD006877,9,Cyt,56466,4.5,-0.41,arCOG04732,H
HVO_1565,D4GYZ4,(ligA) DNA ligase (ATP),0.0,19,139,45.2991452991453,PXD006877,10,Cyt,62700,4.28,-0.24,arCOG01347,L
HVO_1567,D4GYZ6,metal-dependent hydrolase domain protein,0.0,7,150,45.95744680851064,PXD006877,9,Cyt,25726,4.11,-0.07,arCOG00497,R
HVO_1568,D4GYZ7,alpha/beta hydrolase fold protein,0.0,7,31,35.018050541516246,PXD006877,11,Cyt,29436,4.74,-0.05,arCOG01648,R
HVO_1570,D4GYZ9,(top6A) DNA topoisomerase 6 subunit A,0.0,20,589,59.2896174863388,PXD006877,12,Cyt,41803,4.47,-0.65,arCOG04143,L
HVO_1571,D4GZ00,(top6B) DNA topoisomerase 6 subunit B,0.0,57,2095,75.68922305764411,PXD006877,12,Cyt,87385,4.6,-0.47,arCOG01165,L
HVO_1572,D4GZ01,(gyrB) DNA gyrase subunit B,0.0,48,1371,73.0829420970266,PXD006877,12,Cyt,71169,4.71,-0.5,arCOG04371,L
HVO_1573,D4GZ02,(gyrA) DNA gyrase subunit A,0.0,45,1493,55.56844547563805,PXD006877,12,Cyt,94795,4.42,-0.47,arCOG04367,L
HVO_1574,D4GZ03,NUDIX family hydrolase,0.0,5,97,42.30769230769231,PXD006877,11,Cyt,17597,4.79,-0.66,arCOG01075,F
HVO_1575,D4GZ04,(rocF) arginase,0.0,6,213,48.49498327759197,PXD006877,11,Cyt,30998,4.41,-0.11,arCOG01700,E
HVO_1576,D4GZ05,GalE family epimerase/dehydratase,0.0,8,89,27.45098039215686,PXD006877,11,Cyt,33922,4.42,-0.49,arCOG01369,M
HVO_1577,D4GZ06,DUF293 domain protein,0.0,17,1470,95.48022598870057,PXD006877,12,Cyt,19366,4.54,-0.43,arCOG00610,K
HVO_1578,D4GZ07,(ndh1) probable NADH dehydrogenase,0.0,26,946,61.20906801007557,PXD006877,12,Cyt,42790,4.23,-0.23,arCOG01067,C
HVO_1579,D4GZ08,(udp1) uridine phosphorylase,0.0,8,141,38.60294117647059,PXD006877,10,Cyt,29002,4.58,-0.25,arCOG01324,F
HVO_1581,D4GZ10,(cdd) cytidine deaminase,0.0,2,15,15.714285714285714,PXD006877,8,Cyt,14966,4.15,-0.19,arCOG04173,F
HVO_1584,D4GZ13,GNAT family acetyltransferase,0.0,9,96,54.40414507772021,PXD006877,8,Cyt,21720,4.51,-0.69,arCOG00840,E
HVO_1585,D4GZ14,(acs5) acyl-CoA synthetase,0.0,12,154,29.04191616766467,PXD006877,12,Cyt,74112,4.33,-0.42,arCOG01529,I
HVO_1587,D4GZ16,conserved hypothetical protein,0.0,1,5,10.212765957446809,PXD006877,5,Cyt,24583,4.39,0.03,arCOG04770,I
HVO_1588,Q1XBW0,cupin 2 barrel domain protein,0.0,1,18,16.037735849056602,PXD006877,4,Cyt,11626,4.15,-0.52,arCOG03006,S
HVO_1589,Q1XBW1,(dnaJ) molecular chaperone DnaJ,0.0,19,613,65.71428571428571,PXD006877,11,Cyt,41876,4.84,-0.97,arCOG02846;arCOG06880,O
HVO_1590,Q1XBW2,(dnaK) Hsp70-type molecular chaperone DnaK,0.0,35,2515,56.0,PXD006877,12,Cyt,67210,4.04,-0.54,arCOG03060,O
HVO_1591,D4GZ20,alpha/beta hydrolase fold protein,0.0,7,43,47.34848484848485,PXD006877,10,Cyt,28749,5.38,-0.2,arCOG06300,R
HVO_1592,Q1XBW3,(grpE) DnaJ/DnaK ATPase stimulator GrpE,0.0,17,474,62.33766233766234,PXD006877,12,Cyt,25025,4.1,-0.81,arCOG04772,O
HVO_1593,D4GZ22,PAC2 family protein,0.0,7,88,53.62903225806452,PXD006877,12,Cyt,26612,4.35,-0.02,arCOG00347,R
HVO_1594,D4GZ23,(cna) tRNA/rRNA cytosine-C5-methylase,0.0,9,176,39.936102236421725,PXD006877,9,Cyt,34575,4.57,-0.45,arCOG00973,J
HVO_1595,D4GZ24,conserved hypothetical protein,0.0,6,90,62.92134831460674,PXD006877,9,Cyt,20204,4.67,-0.71,arCOG02286,J
HVO_1596,D4GZ25,DUF790 family protein,0.0,1,3,4.0,PXD006877,7,Cyt,53924,4.46,-0.13,arCOG04356,L
HVO_1597,D4GZ26,conserved hypothetical protein,0.0,3,10,23.846153846153847,PXD006877,11,Tat; lipobox,13710,4.29,-0.29,arCOG11346,S
HVO_1598,D4GZ27,(rad25c) DNA repair helicase Rad25,0.0,7,84,24.40087145969499,PXD006877,7,Cyt,50280,4.66,-0.34,arCOG00874,K
HVO_1599,D4GZ28,conserved hypothetical protein,0.0,2,35,89.79591836734694,PXD006877,3,Cyt,5466,4.12,-0.47,arCOG06374,S
HVO_1600,D4GZ29,conserved hypothetical protein,0.0,1,2,7.382550335570469,PXD006877,1,Tat; SPI,16387,4.83,-0.25,arCOG06432,S
HVO_1601,D4GZ30,(ssuB) ABC-type transport system ATP-binding protein (probable substrate nitrate/sulfonate/bicarbonate),0.0,2,13,8.85608856088561,PXD006877,6,Cyt,28955,4.25,-0.11,arCOG00193,P
HVO_1603,D4GZ32,(ssuA) ABC-type transport system periplasmic substrate-binding protein (probable substrate nitrate/sulfonate/bicarbonate),0.0,5,34,32.18390804597701,PXD006877,11,Tat; lipobox,37173,4.17,-0.07,arCOG01803,P
HVO_1604,D4GZ33,(aspC1) pyridoxal phosphate-dependent aminotransferase,0.0,12,379,41.55495978552279,PXD006877,12,Cyt,40168,4.31,-0.19,arCOG01130,E
HVO_1608,D4GZ37,GTP-binding protein,0.0,16,351,53.452685421994886,PXD006877,10,Cyt,42404,4.44,-0.35,arCOG00357,J
HVO_1609,D4GZ38,DUF4349 domain protein,0.0,1,2,5.172413793103448,PXD006877,9,Sec; lipobox,30979,4.51,-0.15,arCOG04609,S
HVO_1610,D4GZ39,DUF583 domain protein,0.0,5,41,31.448763250883392,PXD006877,9,Cyt,30458,4.41,-0.19,arCOG02471,R
HVO_1611,D4GZ40,conserved hypothetical protein,0.0,2,16,31.34328358208955,PXD006877,6,Cyt,7531,4.46,-0.36,arCOG04616,S
HVO_1613,D4GZ42,dolichyl-phosphate hexosyltransferase,0.0,8,150,53.50877192982456,PXD006877,11,Cyt,25076,4.66,-0.19,arCOG00895,M
HVO_1614,D4GZ43,conserved hypothetical protein,0.0,4,144,52.136752136752136,PXD006877,3,Cyt,12310,3.55,-1.01,arCOG11895,S
HVO_1615,D4GZ44,ribonuclease H domain protein,0.0,9,69,36.65338645418327,PXD006877,7,Cyt,28379,4.41,-0.48,arCOG03130,L
HVO_1616,D4GZ45,UPF0361 family protein,0.0,7,123,40.598290598290596,PXD006877,9,Cyt,26225,4.61,-0.65,arCOG02784,O
HVO_1619,D4GZ48,conserved hypothetical protein,0.0,5,120,36.486486486486484,PXD006877,2,Cyt,16314,4.46,-0.95,arCOG06216,S
HVO_1620,D4GZ49,XerC/D-like integrase,0.0,7,46,27.22063037249284,PXD006877,6,Cyt,39084,5.54,-0.51,arCOG01241,X
HVO_1623,D4GZ53,conserved hypothetical protein,0.0,12,190,50.671140939597315,PXD006877,9,Cyt,32835,4.44,-0.23,arCOG04572,S
HVO_1625,D4GZ54,conserved hypothetical protein,0.0,36,626,56.57492354740061,PXD006877,10,Cyt,70051,3.86,-0.69,arCOG00385;arCOG04573,S
HVO_1626,D4GZ55,metal-dependent hydrolase domain protein,0.0,7,328,36.462093862815884,PXD006877,10,Cyt,30581,4.11,-0.37,arCOG00515,R
HVO_1628,D4GZ57,TIGR00725 family protein,0.0,1,6,22.818791946308725,PXD006877,1,Cyt,14923,4.42,0.17,arCOG02431,R
HVO_1629,D4GZ58,conserved hypothetical protein,0.0,15,204,36.346516007532955,PXD006877,10,Cyt,56313,4.53,-0.35,arCOG01449,V
HVO_1631,D4GZ60,(dph2) 2-(3-amino-3-carboxypropyl)histidine synthase,0.0,18,486,49.127906976744185,PXD006877,11,Cyt,39059,4.55,-0.5,arCOG04112,J
HVO_1632,D4GZ61,alpha/beta hydrolase fold protein,0.0,4,347,52.995391705069125,PXD006877,6,Cyt,23261,4.43,-0.2,arCOG06256,R
HVO_1633,D4GZ62,DUF964 family protein,0.0,10,111,70.16129032258064,PXD006877,6,Cyt,13738,4.18,-0.6,arCOG04404,T
HVO_1637,D4GZ66,(mtfK2) FKBP-type peptidylprolyl isomerase,0.0,12,1238,62.745098039215684,PXD006877,12,Cyt,33764,3.64,-0.56,arCOG00980,O
HVO_1648,D4GZ76,adenylate cyclase domain protein,0.0,6,97,29.72972972972973,PXD006877,7,Cyt,20468,4.26,-0.61,arCOG01723,F
HVO_1649,D4GZ77,(mat) S-adenosylmethionine synthase,0.0,27,1781,83.58208955223881,PXD006877,11,Cyt,43472,4.27,-0.33,arCOG01678,E
HVO_1650,D4GZ78,(ppk1) polyphosphate kinase,0.0,33,417,52.64423076923077,PXD006877,8,Cyt,93599,4.51,-0.51,arCOG04535,P
HVO_1651,D4GZL6,(thiI) tRNA uracil 4-sulfurtransferase,0.0,9,154,37.851662404092075,PXD006877,8,Cyt,41666,4.7,-0.16,arCOG00038,J
HVO_1653,D4GZL8,conserved hypothetical protein,0.0,3,17,26.0,PXD006877,5,Cyt,16768,4.39,-0.18,arCOG04642,S
HVO_1654,D4GZL9,(cysK2) cysteine synthase,0.0,19,238,76.47058823529412,PXD006877,10,Cyt,32300,4.21,-0.26,arCOG01430,E
HVO_1655,D4GZM0,(trxA7) thioredoxin,0.0,8,101,56.34920634920635,PXD006877,6,Cyt,13710,3.82,-0.22,arCOG04633,O
HVO_1656,D4GZM1,YyaL family protein,0.0,26,479,47.51066856330014,PXD006877,11,Cyt,77253,4.34,-0.45,arCOG02007,O
HVO_1657,D4GZM2,(purD) phosphoribosylamine--glycine ligase,0.0,19,301,48.13084112149533,PXD006877,12,Cyt,45476,4.09,-0.14,arCOG04415,F
HVO_1658,D4GZM3,(yvoF) O-acetyltransferase (homolog to galactoside O-acetyltransferase),0.0012479201331114808,1,2,5.0,PXD006877,10,Cyt,19643,5.06,-0.14,arCOG01850,R
